kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
18.1;0000-2400;;RUS;RDL Russian Navy;-CW;RUS;m;1;;[1219]
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
20.5;0841-0847;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
23;0835-0841;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25;0800-0825;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25.1;0825-0830;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;[0120]
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;[0120]
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;[0120]
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;[0120]
25.5;0830-0835;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;[0120]
27.3;0000-2400;;RUS;RDL Russian Navy;-CW;EEu;/BLR-mo;1;;[1019]
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;[1218]
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;[0122]
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;[1122]
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;[0122]
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;[0519]
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;[1119]
68.5;0000-2100;;CHN;BPC Time Signal;-TS;FE;sq;1;;[0122]
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;[1122]
100;0000-2400;;CHN;BPL Time Signal;-TS;FE;p;1;;[0519]
128.9;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;[1122]
135.4;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;[1122]
138.8;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;[1122]
147.3;0000-2400;;D;DWD 2 Pinneberg RTTY;E;Eu;pi;1;;[1122]
162;1000-0600;;F;ALS162 Time Signals;-TS;F;a;2;;[0122]
162;0600-1000;We-Mo;F;ALS162 Time Signals;-TS;F;a;2;;
225;0440-0450;Mo-Sa;POL;Polskie Radio;BY;EEu;;1;;
225;0705-0707;Mo-Fr;POL;Polskie Radio;E;EEu;;1;2706;3108[0622]
225;0707-0709;Mo-Fr;POL;Polskie Radio;D;EEu;;1;2706;3108[0622]
225;0709-0711;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;2706;3108
225;0805-0807;Mo-Fr;POL;Polskie Radio;E;EEu;;1;2706;3108
225;0807-0809;Mo-Fr;POL;Polskie Radio;D;EEu;;1;2706;3108
225;0809-0811;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;2706;3108
225;0905-0907;Mo-Fr;POL;Polskie Radio;E;EEu;;1;2706;3108[0622]
225;0907-0909;Mo-Fr;POL;Polskie Radio;D;EEu;;1;2706;3108
225;0909-0911;Mo-Fr;POL;Polskie Radio;UK;EEu;;1;2706;3108
225;0906-0916;;POL;Polskie Radio;UK;EEu;;1;;
225;1010-1020;Su;POL;Polskie Radio;BY;EEu;;1;;
225;1020-1030;Mo-Sa;POL;Polskie Radio;BY;EEu;;1;;
225;1306-1316;;POL;Polskie Radio;UK;EEu;;1;;
225;1606-1616;;POL;Polskie Radio;UK;EEu;;1;;
225;1905-1915;Su;POL;Polskie Radio;BY;EEu;;1;;
225;2020-2030;;POL;Polskie Radio;BY;EEu;;1;;
243;0342-0405;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0557-0705;;DNK;Danmarks Radio;DA;NEu;k;2;;[0123]
243;0942-1015;;DNK;Danmarks Radio;DA;NEu;k;2;;[0123]
243;1542-1620;;DNK;Danmarks Radio;DA;NEu;k;2;;[1122]
531;1100-1103;Sa-Th;ALG;R.Algiers Int.;E;NAf;fk;1;;
531;1130-1133;Sa-Th;ALG;R.Algiers Int.;S;NAf;fk;1;;
531;1315-1317;;ALG;R.Algiers Int.;E;NAf;fk;1;;
531;1330-1345;;ALG;R.Algiers Int.;E;NAf;fk;1;;
531;1345-1430;;ALG;R.Algiers Int.;S;NAf;fk;1;;
531;1900-2300;;ALG;R.Algiers Int.;A,F;NAf;fk;1;;
531;1930-1940;;ALG;R.Algiers Int.;E;NAf;fk;1;;
531;1941-2000;;ALG;R.Algiers Int.;S;NAf;fk;1;;
531;2300-1900;;ALG;R.Algiers Int.;A,F;NAf;fk;1;;[0222]
549;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;pt;1;;
549;0800-0930;Tests;RUS;Radio Rossii;R;EEu;k;1;;
549;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0600-1100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;1100-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
549;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
576;1100-1103;Sa-Th;ALG;R.Algiers Int.;E;NAf;b;1;;
576;1130-1133;Sa-Th;ALG;R.Algiers Int.;S;NAf;b;1;;
576;1315-1317;;ALG;R.Algiers Int.;E;NAf;b;1;;
576;1330-1345;;ALG;R.Algiers Int.;E;NAf;b;1;;
576;1345-1430;;ALG;R.Algiers Int.;S;NAf;b;1;;
576;1900-2300;;ALG;R.Algiers Int.;A,F;NAf;b;1;;
576;1930-1940;;ALG;R.Algiers Int.;E;NAf;b;1;;
576;1941-2000;;ALG;R.Algiers Int.;S;NAf;b;1;;
576;2300-1900;;ALG;R.Algiers Int.;A,F;NAf;b;1;;
594;0030-0900;;IND;All India Radio Ext.Sce;BE;BGD;ko;1;;
594;1000-1830;;IND;All India Radio Ext.Sce;BE;BGD;ko;1;;
603;0000-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1200-1300;;CHN;China Radio Int.;VN;SEA;d;1;;[0420]
603;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1400-1500;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-2400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
612;1425-1455;Mo-Fr;USA;Trans World Radio;UI;CAs;/KGZ;1;;
612;1455-1545;;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1545-1600;;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1615;Mo-Sa;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1630;Su;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1615-1630;Mo-Fr;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1615-1630;Sa;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1630-1700;;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1700-1715;Fr-Su;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1700-1730;Mo-Th;USA;Trans World Radio;UI;CAs;/KGZ;1;;
612;1715-1730;Fr-Su;USA;Trans World Radio;KG;CAs;/KGZ;1;;
621;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;0700-0900;;KRE;Voice of Korea;J;J;c;1;;
621;0900-1300;;KRE;Voice of Korea;J;J;c;1;;
621;2000-2100;;KRE;Voice of Korea KCBS;K;FE;c;1;;
621;2100-2400;;KRE;Voice of Korea;J;J;c;1;;
621;1200-1518;Mo-Fr;MDA;Radio Odin Plus;R;EEu;;2;;
621;1730-1830;;USA;Trans World Radio;R;EEu;/MDA;2;;
630;1000-1100;;ROU;Radio Temeswar;D;ROU;;2;;[1221]
657;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
675;1030-1330;;VTN;Voice of Vietnam 1;VN;VTN;mh;1;;
675;1330-1700;;VTN;Voice of Vietnam 1;VN;VTN;mh;1;;
675;2145-1030;;VTN;Voice of Vietnam 1;VN;VTN;mh;1;;
684;0100-0500;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0500-0600;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0900-1100;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;1100-1200;;CHN;China National Radio 6;M;TWN;pt;1;;
684;1200-1605;;CHN;China National Radio 6;M;TWN;pt;1;;
684;2155-0100;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;CRI/CGTN Radio;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
690;0000-2400;;B;Rádio Clube do Pará;P;B;be;1;;
693;1900-2300;;ALG;R.Algiers Int.;A,F;NAf;r;1;;
693;1930-1940;;ALG;R.Algiers Int.;E;NAf;r;1;;
693;1941-2000;;ALG;R.Algiers Int.;S;NAf;r;1;;
729;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0600-1100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;1100-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
729;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
765;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
765;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;f;1;;
783;1900-2300;;ALG;R.Algiers Int.;A,F;NAf;r;1;;
783;1930-1940;;ALG;R.Algiers Int.;E;NAf;r;1;;
783;1941-2000;;ALG;R.Algiers Int.;S;NAf;r;1;;
800;0000-0300;;USA;Trans World Radio;S;CUB;/BES;1;;[1218]
800;0300-0800;;USA;Trans World Radio;S;Car;/BES;1;;[0319]
800;0800-0945;;USA;Trans World Radio;P;SAm;/BES;1;;
800;0945-1000;Su;USA;Trans World Radio;BNI;SAm;/BES;1;;
800;0945-1000;Sa;USA;Trans World Radio;MX;SAm;/BES;1;;
800;0945-1000;Mo-Fr;USA;Trans World Radio;P;SAm;/BES;1;;
800;1000-1230;;USA;Trans World Radio;S;Car;/BES;1;;
800;2130-2300;;USA;Trans World Radio;S;Car;/BES;1;;
800;2300-2400;;USA;Trans World Radio;E;Car;/BES;1;;
800;2100-2230;Mo-Fr;USA;Voice of America;S;VEN;/BES;1;;
801;0356-2100;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
837;0000-0900;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;0900-1000;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;1000-1705;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;2055-2300;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;2300-2400;;CHN;CNR5 Cross-Strait Radio;M;TWN;qz;1;;
837;0253-2000;;ETH;Radio Oromiya;OO;EAf;r;1;;
855;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1900-1950;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
864;1430-1530;;USA;Radio Liberty;R;EEu;/ARM;1;;
864;1710-1725;;USA;Trans World Radio;TK;CAs;/ARM;1;;
864;1725-1740;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
864;1740-1755;;USA;Trans World Radio;KPK;CAs;/ARM;1;;
873;0915-1600;;CHN;China Huayi BC;M;TWN;f;1;;[0318]
873;0600-0800;;HNG;Nemzetiségi Rádió;HR;HNG;lh;2;;
873;0600-0800;;HNG;Nemzetiségi Rádió;HR;HNG;p;2;;
873;0800-1000;;HNG;Nemzetiségi Rádió;D;HNG;lh;2;;[1218]
873;0800-1000;;HNG;Nemzetiségi Rádió;D;HNG;p;2;;
873;1100-1130;Sa;HNG;Nemzetiségi Rádió;AR;HNG;lh;2;;
873;1100-1130;Sa;HNG;Nemzetiségi Rádió;AR;HNG;p;2;;
873;1100-1130;We;HNG;Nemzetiségi Rádió;BU;HNG;lh;2;;
873;1100-1130;We;HNG;Nemzetiségi Rádió;BU;HNG;p;2;;
873;1100-1130;Th;HNG;Nemzetiségi Rádió;GR;HNG;lh;2;;[0221]
873;1100-1130;Th;HNG;Nemzetiségi Rádió;GR;HNG;p;2;;
873;1100-1130;Tu;HNG;Nemzetiségi Rádió;RU;HNG;lh;2;;
